,bus_id,block_id,start_soc,end_soc,end_mile,total_block_mile,remaining_block_miles
0,2401,102,98,28,90,195.0,185.0
1,2401,112,98,29,93,180.0,180.0
2,2401,11X,98,32,101,175.0,152.0
3,2401,12,98,18,56,213.0,193.0
4,2401,122,98,30,95,157.0,157.0
5,2401,13,98,23,75,176.0,167.0
6,2401,14,98,92,289,19.0,19.0
7,2401,15,98,17,55,193.0,182.0
8,2401,21X,98,23,73,185.0,162.0
9,2401,22,98,19,59,210.0,192.0
10,2401,23,98,30,95,166.0,161.0
11,2401,24,98,91,286,19.0,19.0
12,2401,25,98,17,56,180.0,169.0
13,2401,32,98,30,94,190.0,170.0
14,2401,33,98,29,93,164.0,155.0
15,2401,35,98,23,73,188.0,182.0
16,2401,42,98,38,119,188.0,169.0
17,2401,43,98,21,68,166.0,161.0
18,2401,45,98,25,80,188.0,182.0
19,2401,52,98,23,73,211.0,178.0
20,2401,62,98,17,55,218.0,184.0
21,2401,72,98,33,104,203.0,192.0
22,2401,82,98,35,111,180.0,170.0
23,2401,92,98,22,69,188.0,178.0
24,2402,102,98,37,122,195.0,161.0
25,2402,112,98,40,135,180.0,169.0
26,2402,11X,98,41,135,175.0,132.0
27,2402,12,98,26,87,213.0,170.0
28,2402,122,98,40,133,157.0,147.0
29,2402,13,98,31,103,176.0,143.0
30,2402,14,99,97,322,19.0,8.0
31,2402,15,98,27,91,193.0,157.0
32,2402,21X,98,32,109,185.0,142.0
33,2402,22,98,27,89,210.0,169.0
34,2402,23,98,37,123,166.0,138.0
35,2402,24,98,91,301,19.0,19.0
36,2402,25,98,28,94,180.0,157.0
37,2402,32,98,38,126,190.0,147.0
38,2402,33,98,36,121,164.0,143.0
39,2402,35,98,32,107,188.0,157.0
40,2402,42,98,44,147,188.0,147.0
41,2402,43,98,32,107,166.0,150.0
42,2402,45,98,34,113,188.0,169.0
43,2402,52,98,32,109,211.0,178.0
44,2402,62,98,27,92,218.0,184.0
45,2402,72,98,41,135,203.0,170.0
46,2402,82,98,41,137,180.0,147.0
47,2402,92,98,30,102,188.0,155.0
48,2403,102,99,33,116,195.0,185.0
49,2403,112,99,36,127,180.0,169.0
50,2403,11X,99,36,127,175.0,142.0
51,2403,12,99,22,80,213.0,193.0
52,2403,122,99,34,120,157.0,157.0
53,2403,13,99,25,89,176.0,155.0
54,2403,14,99,95,335,19.0,15.0
55,2403,15,99,22,79,193.0,170.0
56,2403,21X,99,29,102,185.0,152.0
57,2403,22,99,24,86,210.0,192.0
58,2403,23,99,34,122,166.0,150.0
59,2403,24,99,91,323,19.0,19.0
60,2403,25,99,22,79,180.0,169.0
61,2403,32,99,34,122,190.0,170.0
62,2403,33,99,33,119,164.0,155.0
63,2403,35,99,27,98,188.0,169.0
64,2403,42,99,41,147,188.0,169.0
65,2403,43,99,26,94,166.0,161.0
66,2403,45,99,30,105,188.0,182.0
67,2403,52,99,27,98,211.0,178.0
68,2403,62,99,21,76,218.0,184.0
69,2403,72,99,35,126,203.0,170.0
70,2403,82,99,37,132,180.0,147.0
71,2403,92,99,26,95,188.0,178.0
72,2404,102,98,38,113,195.0,161.0
73,2404,112,98,42,126,180.0,169.0
74,2404,11X,98,43,130,175.0,122.0
75,2404,12,98,29,87,213.0,170.0
76,2404,122,98,43,128,157.0,147.0
77,2404,13,98,34,101,176.0,143.0
78,2404,14,98,96,286,19.0,8.0
79,2404,15,98,29,88,193.0,157.0
80,2404,21X,98,37,110,185.0,132.0
81,2404,22,98,29,88,210.0,169.0
82,2404,23,98,40,121,166.0,138.0
83,2404,24,98,90,269,19.0,19.0
84,2404,25,98,30,91,180.0,144.0
85,2404,32,98,40,120,190.0,147.0
86,2404,33,98,39,117,164.0,132.0
87,2404,35,98,35,104,188.0,157.0
88,2404,42,98,46,137,188.0,147.0
89,2404,43,98,32,95,166.0,138.0
90,2404,45,98,36,107,188.0,157.0
91,2404,52,98,32,97,211.0,155.0
92,2404,62,98,27,80,218.0,161.0
93,2404,72,98,42,126,203.0,147.0
94,2404,82,98,44,131,180.0,147.0
95,2404,92,98,31,94,188.0,155.0
96,2405,102,61,29,98,195.0,93.0
97,2405,112,61,31,106,180.0,78.0
98,2405,11X,61,45,151,175.0,43.0
99,2405,12,61,24,84,213.0,102.0
100,2405,122,61,37,126,157.0,56.0
101,2405,13,61,30,102,176.0,63.0
102,2405,14,61,59,201,19.0,8.0
103,2405,15,61,29,99,193.0,70.0
104,2405,21X,61,40,134,185.0,53.0
105,2405,22,61,25,86,210.0,100.0
106,2405,23,61,36,124,166.0,57.0
107,2405,24,61,55,188,19.0,15.0
108,2405,25,61,31,107,180.0,69.0
109,2405,32,61,34,117,190.0,79.0
110,2405,33,61,35,121,164.0,63.0
111,2405,35,61,31,106,188.0,69.0
112,2405,42,61,37,127,188.0,78.0
113,2405,43,61,31,106,166.0,69.0
114,2405,45,61,31,106,188.0,82.0
115,2405,52,61,27,91,211.0,87.0
116,2405,62,61,22,76,218.0,93.0
117,2405,72,61,31,107,203.0,79.0
118,2405,82,61,37,127,180.0,56.0
119,2405,92,61,28,95,188.0,87.0
120,2406,102,98,38,144,195.0,161.0
121,2406,112,98,43,160,180.0,169.0
122,2406,11X,98,44,164,175.0,122.0
123,2406,12,98,30,112,213.0,170.0
124,2406,122,98,43,162,157.0,147.0
125,2406,13,98,35,130,176.0,143.0
126,2406,14,98,96,359,19.0,8.0
127,2406,15,98,30,114,193.0,157.0
128,2406,21X,98,37,139,185.0,132.0
129,2406,22,98,31,115,210.0,169.0
130,2406,23,98,40,152,166.0,138.0
131,2406,24,98,90,337,19.0,19.0
132,2406,25,98,31,115,180.0,144.0
133,2406,32,98,41,154,190.0,147.0
134,2406,33,98,39,148,164.0,132.0
135,2406,35,98,36,134,188.0,157.0
136,2406,42,98,46,172,188.0,147.0
137,2406,43,98,33,123,166.0,138.0
138,2406,45,98,36,136,188.0,157.0
139,2406,52,98,34,127,211.0,155.0
140,2406,62,98,28,105,218.0,161.0
141,2406,72,98,43,160,203.0,147.0
142,2406,82,98,44,165,180.0,147.0
143,2406,92,98,33,124,188.0,155.0
144,2407,102,95,64,229,195.0,93.0
145,2407,112,95,66,238,180.0,78.0
146,2407,11X,95,78,282,175.0,43.0
147,2407,12,95,60,216,213.0,102.0
