,bus_id,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,spd,block_id,psgld,stst,stsd,oid,or,rid,trip_id,tripdyn
0,0890,20250620 12:48:48,33.89297,-118.31791,180,-1,U,,0,False,30,,,,,,True,,,0
1,2010,20250620 12:48:38,33.904046666666666,-118.31071333333333,88,-1,U,,0,False,0,,,,,,True,,,0
2,0842,20250620 12:49:00,33.86783,-118.35808,24,-1,U,,0,False,0,,,,,,True,,,0
3,0843,20250620 12:48:53,33.94443,-118.37857,180,-1,U,,0,False,24,,,,,,True,,,0
4,0845,20250620 12:48:59,33.90508,-118.30994,21,-1,U,,0,False,0,,,,,,True,,,0
5,R5,20250620 12:48:49,33.90167051,-118.29386882,358,-1,U,,0,False,0,,,,,,True,,,0
6,2310,20250620 12:48:40,33.90484,-118.31037999999998,359,-1,U,,0,False,0,,,,,,True,,,0
7,2317,20250620 12:48:50,33.895059999999994,-118.36992,321,4,1X,Harbor Fwy Station > Redondo Beach Station,51312,False,0,21X,,43620.0,2025-06-20,110689.0,True,227.0,130020.0,0
8,2312,20250620 12:49:02,33.93101406303936,-118.28137133355136,269,14,1X,Redondo Beach Station > Harbor Fwy Station,51928,False,38,11X,,43740.0,2025-06-20,123791.0,False,102.0,269020.0,0
9,2404,20250620 12:48:55,33.8031912677919,-118.3074097464451,0,31,2,Kaiser Hospital >> Kaiser Hospital,8533,False,36,92,,45600.0,2025-06-20,124732.0,False,226.0,504020.0,0
10,2308,20250620 12:48:38,33.87959541820916,-118.30913545931854,19,31,2,Kaiser Hospital >> Kaiser Hospital,36534,False,7,42,,44400.0,2025-06-20,123244.0,False,202.0,236020.0,0
11,2302,20250620 12:48:40,33.93091918244472,-118.30089614763465,89,31,2,Kaiser Hospital >> Kaiser Hospital,57816,False,15,22,,43200.0,2025-06-20,82963.0,False,219.0,507020.0,0
12,2403,20250620 12:48:46,33.90144903808845,-118.29196257271012,180,31,2,Kaiser Hospital >> Kaiser Hospital,71291,False,0,82,,42000.0,2025-06-20,125304.0,False,224.0,203020.0,0
13,2316,20250620 12:48:49,33.82431774106318,-118.29921750856867,179,31,2,Kaiser Hospital >> Kaiser Hospital,104743,False,18,112,,40800.0,2025-06-20,112209.0,False,228.0,776020.0,0
14,2304,20250620 12:48:33,33.789950560005614,-118.29301529033076,222,31,2,Kaiser Hospital >> Kaiser Hospital,119668,False,30,52,,39600.0,2025-06-20,124918.0,False,225.0,286020.0,0
15,2009,20250620 12:48:59,33.82400249712591,-118.29916853605964,11,49,2,Kaiser Hospital >> Kaiser Hospital,12677,False,11,102,,45600.0,2025-06-20,114240.0,False,203.0,327020.0,0
16,2307,20250620 12:48:54,33.88258124221151,-118.29128935714364,2,49,2,Kaiser Hospital >> Kaiser Hospital,38756,False,22,32,,44400.0,2025-06-20,114785.0,False,207.0,215020.0,0
17,2401,20250620 12:48:39,33.93101900142381,-118.30858988099844,270,49,2,Kaiser Hospital >> Kaiser Hospital,60799,False,0,12,,43200.0,2025-06-20,108093.0,False,209.0,37020.0,0
18,2303,20250620 12:48:34,33.87293508727985,-118.3092179717769,158,49,2,Kaiser Hospital >> Kaiser Hospital,81789,False,11,122,,42000.0,2025-06-20,123504.0,False,222.0,375020.0,0
19,2311,20250620 12:48:52,33.798102669972735,-118.30772534722855,167,49,2,Kaiser Hospital >> Kaiser Hospital,108329,False,0,72,,40800.0,2025-06-20,125430.0,False,204.0,545020.0,0
20,2306,20250620 12:48:45,33.787061666666666,-118.29737,5,49,2,Kaiser Hospital >> Kaiser Hospital,118664,False,0,62,,39600.0,2025-06-20,123249.0,False,210.0,777020.0,0
21,2001,20250620 12:48:59,33.88812154046211,-118.31037636774178,68,28,3,South Bay Galleria >> MLK Transit Center,18509,False,0,23,,45000.0,2025-06-20,115160.0,False,301.0,33020.0,0
22,2319,20250620 12:48:58,33.89218043092206,-118.22445603515553,84,28,3,South Bay Galleria >> MLK Transit Center,57008,False,3,33,,43200.0,2025-06-20,121797.0,False,302.0,182020.0,0
23,2402,20250620 12:48:47,33.89191730738086,-118.29881292564804,230,46,3,MLK Transit Center >> South Bay Galleria,37418,False,24,13,,44220.0,2025-06-20,125374.0,False,303.0,245020.0,0
24,2406,20250620 12:48:36,33.868195,-118.35761166666668,102,46,3,MLK Transit Center >> South Bay Galleria,60574,False,0,43,,42420.0,2025-06-20,125174.0,False,304.0,341020.0,0
25,2318,20250620 12:48:59,33.91632256668943,-118.37016913682145,89,9,5,LAX Transit Center >> Willowbrook / Rosa,16520,False,22,15,,45300.0,2025-06-20,85885.0,False,401.0,466020.0,0
26,2018,20250620 12:49:01,33.91622626804535,-118.2465756082574,91,9,5,LAX Transit Center >> Willowbrook / Rosa,56666,False,15,45,,43500.0,2025-06-20,114244.0,False,501.0,772020.0,0
27,2013,20250620 12:48:42,33.91642106076646,-118.2844311893933,269,26,5,Willowbrook / Rosa Park Station >> LAX TC,18868,False,0,35,,45000.0,2025-06-20,108091.0,False,503.0,519020.0,0
28,2004,20250620 12:48:53,33.916400013683415,-118.36572368085298,270,26,5,Willowbrook / Rosa Park Station >> LAX TC,45161,False,13,25,,43200.0,2025-06-20,97346.0,False,502.0,64020.0,0
